Fecha,Region,Categoria,Producto,Cantidad,Precio_Unitario,Monto,Cliente
2025-01-01,Este,Oficina,Archivador,2,138659,277318,Cliente 22
2025-01-02,Norte,Accesorios,Auriculares,6,57655,345930,Cliente 21
2025-01-07,Centro,Accesorios,Teclado,3,54327,162981,Cliente 25
2025-01-09,Centro,Hogar,Ventilador,6,52314,313884,Cliente 24
2025-01-11,Este,Hogar,Aspiradora,2,172165,344330,Cliente 23
2025-01-15,Este,Accesorios,Auriculares,7,105962,741734,Cliente 10
2025-01-18,Centro,Tecnología,Notebook,5,593217,2966085,Cliente 12
2025-01-19,Centro,Tecnología,Tablet,4,301290,1205160,Cliente 15
2025-01-20,Sur,Hogar,Cafetera,10,61875,618750,Cliente 16
2025-01-23,Centro,Hogar,Ventilador,11,126421,1390631,Cliente 07
2025-01-31,Centro,Accesorios,Teclado,4,97754,391016,Cliente 11
2025-02-01,Oeste,Tecnología,Monitor,3,321586,964758,Cliente 23
2025-02-10,Norte,Hogar,Lámpara,5,205738,1028690,Cliente 24
2025-02-10,norte,Oficina,Calculadora,4,195764,783056,Cliente 18
2025-02-11,Norte,Hogar,Lámpara,1,161605,161605,Cliente 18
2025-02-12,Centro,Hogar,Ventilador,7,160742,1125194,Cliente 07
2025-02-19,Sur,Oficina,Calculadora,3,71497,214491,Cliente 18
2025-02-19,Oeste,Oficina,Escritorio,10,73430,734300,Cliente 08
2025-02-21,Centro,Hogar,Aspiradora,12,250049,3000588,Cliente 18
2025-02-22,Sur,Oficina,Archivador,12,156887,1882644,Cliente 20
2025-02-25,Oeste,Accesorios,Mouse,7,96286,674002,Cliente 22
2025-02-25,Centro,Accesorios,Teclado,1,73487,73487,Cliente 07
2025-02-26,Oeste,Oficina,Archivador,4,161177,644708,Cliente 19
2025-02-27,Oeste,Accesorios,Teclado,8,114089,912712,Cliente 14
2025-03-02,Norte,Accesorios,Auriculares,7,61618,431326,Cliente 04
2025-03-07,Sur,Accesorios,Mouse,3,73840,221520,Cliente 25
2025-03-11,Oeste,Oficina,Escritorio,10,168020,1680200,Cliente 16
2025-03-11,Norte,Accesorios,Webcam,11,72512,797632,Cliente 19
2025-03-13,Norte,Oficina,Calculadora,9,75384,678456,Cliente 21
2025-03-14,Centro,Tecnología,Tablet,12,839224,10070688,Cliente 23
2025-03-27,Centro,Tecnología,Monitor,11,595512,6550632,Cliente 22
2025-03-29,Este,Accesorios,Mouse,9,118079,1062711,Cliente 18
2025-03-30,Sur,Tecnología,Monitor,9,728707,6558363,Cliente 05
2025-04-07,Este,Accesorios,Webcam,4,107177,428708,Cliente 04
2025-04-08,Sur,Tecnología,Notebook,3,203162,609486,Cliente 22
2025-04-11,Sur,Tecnología,Monitor,4,805579,3222316,Cliente 12
2025-04-12,Norte,Hogar,Lámpara,5,91316,456580,Cliente 04
2025-04-22,Norte,Accesorios,Mouse,9,118951,1070559,Cliente 05
2025-04-26,Este,Accesorios,Webcam,6,106230,637380,Cliente 02
2025-04-29,Oeste,Tecnología,Tablet,3,776771,2330313,Cliente 05
2025-04-29,Centro,Accesorios,Teclado,11,63005,693055,Cliente 24
2025-05-11,Este,Accesorios,Auriculares,7,35937,251559,Cliente 13
2025-05-17,Sur,Hogar,Ventilador,12,78661,943932,Cliente 03
2025-05-18,Sur,Accesorios,Auriculares,5,50926,254630,Cliente 09
2025-05-19,Oeste,Accesorios,Auriculares,3,23995,71985,Cliente 14
2025-05-22,Sur,Tecnología,Tablet,5,502701,2513505,Cliente 20
2025-06-01,Centro,Accesorios,Teclado,6,46966,281796,Cliente 11
2025-06-04,Sur,Tecnología,Tablet,12,516412,6196944,Cliente 21
2025-06-08,Este,oficina,Calculadora,6,168409,1010454,Cliente 09
2025-06-13,Centro,Accesorios,Teclado,10,61867,618670,Cliente 02
2025-06-17,Este,Accesorios,Teclado,12,32387,388644,Cliente 07
2025-06-17,Norte,Accesorios,Auriculares,4,53875,215500,Cliente 03
2025-07-04,Sur,Oficina,Silla,1,90978,90978,Cliente 16
2025-07-05,Oeste,Accesorios,Auriculares,12,93703,1124436,Cliente 16
2025-07-10,Norte,Hogar,Aspiradora,6,196096,1176576,Cliente 25
2025-07-12,Norte,Hogar,Ventilador,1,155992,155992,Cliente 10
2025-07-15,Este,Hogar,Aspiradora,8,252148,2017184,Cliente 04
2025-07-25,Este,Accesorios,Teclado,4,81369,325476,Cliente 21
2025-08-06,Este,Oficina,Escritorio,9,92899,836091,Cliente 24
2025-08-16,sur,Hogar,Cafetera,10,164606,1646060,Cliente 10
2025-08-17,Oeste,Tecnología,Tablet,5,602664,3013320,Cliente 22
2025-08-22,Norte,Accesorios,Webcam,10,66609,666090,Cliente 08
2025-08-26,Oeste,Tecnología,Tablet,9,756167,6805503,Cliente 20
2025-09-02,Centro,Oficina,Archivador,2,113832,227664,Cliente 06
2025-09-06,Este,Oficina,Archivador,11,58651,645161,Cliente 12
2025-09-07,Centro,Tecnología,Smartphone,7,807654,5653578,Cliente 11
2025-09-08,Este,Oficina,Archivador,11,142066,1562726,Cliente 17
2025-09-11,Oeste,Accesorios,Webcam,8,74392,595136,Cliente 19
2025-09-12,Centro,Accesorios,Auriculares,4,105610,422440,Cliente 21
2025-09-16,Este,Tecnología,Monitor,6,437718,2626308,Cliente 24
2025-09-19,Norte,Oficina,Escritorio,6,168600,1011600,Cliente 22
2025-09-21,Oeste,Accesorios,Webcam,11,31574,347314,Cliente 24
2025-09-24,Centro,Oficina,Silla,1,52349,52349,Cliente 17
2025-09-24,Oeste,Hogar,Cafetera,6,182819,1096914,Cliente 21
2025-09-28,Oeste,Accesorios,Mouse,11,62723,689953,Cliente 03
2025-10-01,Sur,Tecnología,Monitor,5,704230,3521150,Cliente 17
2025-10-24,Centro,Tecnología,Monitor,1,827244,827244,Cliente 06
2025-10-29,Centro,tecnología,Smartphone,7,618264,4327848,Cliente 03
2025-11-01,Este,Tecnología,Tablet,10,327834,3278340,Cliente 13
2025-11-02,Norte,Hogar,Lámpara,3,217467,652401,Cliente 14
2025-11-04,Centro,Tecnología,Notebook,6,706771,4240626,Cliente 23
2025-11-06,Oeste,Oficina,Calculadora,12,112044,1344528,Cliente 06
2025-11-06,Este,Oficina,Escritorio,9,157988,1421892,Cliente 03
2025-11-10,Oeste,Tecnología,Tablet,4,484606,1938424,Cliente 13
2025-11-15,Centro,Oficina,Archivador,7,213223,1492561,Cliente 05
2025-11-16,Sur,Oficina,Archivador,11,159664,1756304,Cliente 07
2025-12-01,Este,Tecnología,Monitor,12,509766,6117192,Cliente 03
2025-12-02,Centro,Tecnología,Notebook,2,586785,1173570,Cliente 06
2025-12-04,Oeste,Hogar,Lámpara,3,134336,403008,Cliente 19
2025-12-06,Centro,Oficina,Calculadora,8,129372,1034976,Cliente 09
2025-12-09,Oeste,Oficina,Silla,2,151291,302582,Cliente 10
2025-12-17,Sur,Oficina,Silla,8,105448,843584,Cliente 09
2025-12-18,Sur,Tecnología,Tablet,7,637782,4464474,Cliente 24
2025-12-19,Sur,Hogar,Lámpara,1,229676,229676,Cliente 17
2025-12-27,Este,Hogar,Ventilador,7,78116,546812,Cliente 02
